case,cores,status,seconds,single,makespan,speedup,selected,plan,error
case_026,2,ok,11.742427110671997,99203,55254,1.7953994280957035,r4_struct_edgegsa_from_r4_gate025_pack20_reassign_a0+r1_edgegsa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_026_2core.json,
case_027,2,ok,13.947695255279541,2363952,1120962,2.10886006840553,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_027_2core.json,
case_028,2,ok,592.2994964122772,43836040,20487686,2.1396286530357798,level_strong_1024_8,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_028_2core.json,
case_029,2,ok,8.041247129440308,37555,19740,1.9024822695035462,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_029_2core.json,
case_030,2,ok,616.3010458946228,2808034,1391677,2.0177340000589217,r4_struct_taskgsa_from_r4_gate025_pack12_reassign_a01+task_gsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_030_2core.json,
case_031,2,ok,180.96911597251892,1414369,704711,2.007019898937295,r4_gate025_pack30_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_031_2core.json,
case_032,2,ok,8.980322122573853,41443,21880,1.8941042047531993,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_032_2core.json,
case_033,2,ok,149.37195873260498,1774196,871397,2.0360363875478114,r4_struct_edgegsa_from_r4_gate025_pack12_reassign_a01+r1_edgegsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_033_2core.json,
case_034,2,ok,147.01062750816345,842996,393832,2.140496455341364,level_aggressive_160_20+task_sa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_034_2core.json,
case_035,2,ok,61.3583984375,169571,95406,1.7773620107750037,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_035_2core.json,
