cores,cases_expected,cases_ok,average_speedup,total_seconds,total_added_copy_bytes
1,55,55,1.0,,
2,55,55,1.9066297946621849,472.57490583031904,101506488
3,55,55,2.6614173266499526,677.1635580011061,121843510
4,55,55,3.3038833879725975,762.8642854570644,126128774
5,55,55,3.824648891796139,836.778645332146,129636940
