cores,cases_expected,cases_ok,average_speedup,total_seconds,total_added_copy_bytes
1,55,55,1.0,,
2,55,55,1.9069834892930924,1220.439521006,101283192
3,55,55,2.665350612987695,1709.1999590019996,121332952
4,55,55,3.31232199119662,1100.0652449610002,127663986
5,55,55,3.8348201780548608,1182.5065229949996,130565762
