cores,cases_expected,cases_ok,average_speedup,total_seconds,total_added_copy_bytes
1,85,83,1.0,,
2,85,83,1.8963241787725942,2728.9297200849396,607370302
3,85,59,2.6628269286518607,1088.3815070840647,130152458
4,85,58,3.298956984083905,1057.1039777049446,134548860
5,85,58,3.825250561367693,1116.83857016603,138092842
