cores,cases_expected,cases_ok,average_speedup,total_seconds,total_added_copy_bytes
1,100,17,1.0,,
2,100,16,1.9024858817324306,291.5296955878148,12635432
3,100,14,2.7119998519149164,341.58025604404975,13333980
4,100,14,3.4482983513837686,395.48888291598996,14207534
5,100,15,4.058707974910287,1077.2933549170266,104898034
