cores,cases_expected,cases_ok,average_speedup,total_seconds,total_added_copy_bytes
1,55,55,1.0,,
2,55,55,1.9066297946621849,488.03505362785654,101506488
3,55,55,2.6614173266499526,771.0601482929778,121843510
4,55,55,3.3038833879725975,751.7222746219486,126128774
5,55,55,3.824648891796139,769.3192426660098,129636940
